project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Highway,501.9,379,95.5,87.7,1,31,6.3,0.0,7,26.5,0,0
Highway,176.6,95,93.6,62.7,1,31,77.9,70.4,19,26.3,0,0
Irrigation,395.3,115,51.0,40.2,1,21,80.3,86.3,15,13.8,0,0
Highway,254.0,179,66.1,51.0,6,26,46.1,13.7,9,5.7,0,0
Irrigation,196.5,211,100.0,100.0,1,24,39.9,75.1,5,16.3,0,0
Railway,260.0,167,70.9,59.8,1,24,45.8,36.2,5,13.9,0,0
Urban Infrastructure,286.2,119,76.5,72.3,2,47,9.6,0.0,18,25.5,0,0
Industrial Corridor,99.5,124,90.0,81.6,2,20,56.5,47.7,4,8.0,1,127
Railway,106.5,136,52.3,35.2,4,9,67.4,50.9,7,20.8,1,15
Industrial Corridor,431.5,268,58.6,57.6,0,32,38.6,27.9,11,47.2,1,68
Highway,211.1,189,68.4,66.0,2,7,82.4,65.9,13,25.2,1,62
Railway,320.4,397,92.9,91.7,1,17,65.1,65.1,9,26.5,0,0
Highway,423.1,451,89.9,89.0,3,13,68.2,81.1,8,26.2,0,0
Urban Infrastructure,261.1,229,85.1,74.7,1,16,55.0,46.7,8,28.3,1,62
Industrial Corridor,400.1,416,71.4,68.5,1,27,77.9,84.3,6,20.2,0,0
Urban Infrastructure,287.5,267,91.7,62.7,4,26,88.8,90.7,3,24.2,0,0
Urban Infrastructure,296.9,217,71.2,25.7,2,16,54.8,28.4,12,20.0,0,0
Urban Infrastructure,580.3,185,82.8,82.8,1,11,78.2,45.8,5,9.6,0,0
Highway,241.3,90,88.2,76.1,1,36,78.4,52.3,3,38.9,0,0
Urban Infrastructure,434.7,414,100.0,77.5,0,28,71.4,48.0,4,16.3,0,0
Irrigation,84.2,45,72.7,68.4,1,5,96.5,86.6,9,43.6,0,0
Railway,312.5,292,67.8,73.7,4,5,48.5,24.3,11,17.6,0,0
Irrigation,674.8,211,94.3,62.0,2,13,54.6,40.3,8,11.1,0,0
Railway,1055.6,465,95.5,77.9,1,3,47.5,9.3,7,47.3,1,20
Highway,88.2,57,64.9,52.4,2,6,77.5,82.3,7,9.7,0,0
Highway,210.3,27,55.9,27.6,1,22,57.6,38.5,4,2.0,1,101
Highway,127.3,51,93.1,74.3,0,25,49.1,59.1,13,10.1,0,0
Railway,248.3,119,47.3,40.0,3,17,96.3,77.1,4,24.5,0,0
Urban Infrastructure,481.4,388,46.5,52.2,3,17,99.2,100.0,9,11.3,0,0
Irrigation,593.6,366,69.3,68.2,0,13,56.4,65.6,13,19.8,1,117
Irrigation,605.8,503,73.6,48.7,2,11,35.7,45.9,9,3.6,1,28
Railway,81.0,60,55.0,37.5,1,31,100.0,87.2,11,38.0,1,47
Railway,281.9,170,75.5,70.1,1,33,72.4,58.1,5,30.6,0,0
Highway,173.8,83,76.3,43.6,2,16,71.4,25.6,9,12.1,0,0
Industrial Corridor,238.0,181,64.3,58.5,0,6,65.1,57.5,12,2.0,0,0
Highway,193.1,277,100.0,78.2,1,11,47.0,26.4,12,16.1,0,0
Industrial Corridor,84.9,41,78.9,67.8,1,18,54.7,43.3,13,33.2,0,0
Industrial Corridor,597.3,1156,90.1,55.0,3,16,76.6,57.3,6,37.8,1,24
Irrigation,154.1,119,48.7,30.2,1,29,54.0,42.8,14,23.4,0,0
Urban Infrastructure,176.4,209,48.6,40.0,1,10,71.7,46.2,8,20.5,0,0
Highway,677.4,609,79.4,73.9,3,26,63.3,70.1,6,19.6,0,0
Urban Infrastructure,71.5,70,100.0,92.2,0,18,41.9,69.6,18,29.3,0,0
Industrial Corridor,367.1,147,55.8,58.0,1,68,95.4,80.1,2,35.7,0,0
Industrial Corridor,525.2,280,74.3,85.4,0,17,74.9,93.0,8,24.4,0,0
Irrigation,643.8,140,52.2,39.9,3,11,69.6,40.9,5,21.9,1,349
Industrial Corridor,350.5,222,60.5,60.0,2,45,74.1,73.3,12,34.6,1,15
Urban Infrastructure,440.0,454,75.1,74.6,2,16,27.1,33.7,4,42.4,1,144
Railway,525.0,334,64.1,57.3,4,25,53.1,3.6,2,22.8,0,0
Industrial Corridor,251.1,307,51.1,42.4,2,4,32.5,23.8,6,26.9,0,0
Industrial Corridor,137.1,78,50.8,42.7,1,38,65.5,59.7,6,17.7,1,55
Railway,709.7,326,41.8,9.5,1,11,69.5,49.3,5,26.9,1,168
Urban Infrastructure,409.5,212,79.6,62.3,2,7,65.8,44.6,3,15.8,1,32
Railway,281.7,307,81.6,44.1,1,34,86.6,60.5,7,41.6,1,43
Irrigation,89.0,151,81.5,79.6,0,10,33.1,44.1,2,35.7,1,32
Highway,30.6,63,57.5,38.5,3,8,47.0,30.0,7,45.1,1,109
Highway,362.3,371,88.1,85.5,0,6,71.3,66.7,7,19.8,0,0
Industrial Corridor,28.3,34,83.3,83.2,1,13,68.3,73.1,17,48.8,0,0
Railway,279.5,72,72.1,34.1,1,10,36.7,27.0,9,28.7,1,33
Railway,159.8,49,69.5,72.3,0,31,86.9,100.0,2,24.5,1,15
Highway,192.7,79,61.6,84.8,3,10,93.9,71.1,10,39.8,0,0
Railway,610.0,906,75.1,77.0,2,12,71.5,66.9,18,14.8,1,61
Industrial Corridor,161.0,237,97.9,100.0,2,11,32.8,31.0,5,26.4,0,0
Urban Infrastructure,289.4,667,90.2,95.5,2,27,66.2,59.3,7,24.3,0,0
Highway,161.7,66,67.9,71.9,2,33,69.8,63.3,6,30.6,0,0
Irrigation,339.9,231,80.6,72.1,0,18,57.6,31.5,7,21.1,0,0
Railway,307.9,67,54.4,75.1,2,17,89.9,97.3,7,20.1,0,0
Irrigation,279.7,77,83.7,59.0,1,20,60.7,57.4,7,21.8,1,42
Railway,526.3,316,58.7,77.0,0,21,100.0,94.2,5,22.8,0,0
Railway,71.7,30,83.0,76.8,1,29,78.7,85.7,6,26.9,0,0
Railway,54.3,23,100.0,96.5,0,28,68.5,57.1,8,40.2,0,0
Irrigation,104.1,51,62.9,43.3,1,8,81.4,83.3,8,2.3,0,0
Railway,308.9,489,100.0,87.1,2,2,93.6,100.0,9,34.4,0,0
Railway,379.8,502,79.9,55.3,3,22,81.0,64.1,15,20.8,1,15
Industrial Corridor,10.9,5,60.0,57.1,2,6,61.5,29.3,11,24.0,0,0
Industrial Corridor,376.5,490,59.3,57.8,0,25,49.8,40.1,8,14.0,1,56
Railway,214.3,94,100.0,86.2,2,21,40.6,33.1,6,26.5,0,0
Industrial Corridor,721.3,183,79.9,57.5,2,17,14.2,7.1,23,21.7,0,0
Urban Infrastructure,358.2,172,62.9,43.3,1,15,66.5,65.2,2,23.5,0,0
Highway,669.0,570,68.7,56.2,4,32,55.2,28.6,9,32.4,1,127
Irrigation,590.7,236,78.9,67.6,3,26,56.3,45.9,12,33.0,1,94
Highway,214.4,217,71.9,64.4,0,7,83.6,100.0,8,41.6,0,0
Industrial Corridor,482.7,243,77.5,63.8,2,21,60.8,33.8,5,19.5,1,59
Highway,214.0,190,100.0,63.5,2,19,100.0,76.7,10,33.5,0,0
Irrigation,778.2,286,54.0,49.4,3,39,51.5,33.5,4,33.0,1,15
Highway,229.4,165,82.3,79.4,0,43,43.6,75.9,12,27.0,1,33
Railway,392.0,160,70.8,69.0,1,18,37.8,28.8,3,44.5,1,96
Urban Infrastructure,870.6,532,64.0,50.5,5,65,77.5,55.1,16,19.0,1,80
Railway,403.6,788,89.2,100.0,1,10,86.0,71.3,10,27.7,0,0
Urban Infrastructure,197.7,108,48.6,42.5,2,5,51.1,39.0,8,29.4,0,0
Urban Infrastructure,93.7,28,34.1,13.8,0,46,41.7,19.3,7,12.8,1,58
Urban Infrastructure,72.3,54,75.6,75.0,1,9,93.6,82.5,7,39.9,0,0
Highway,375.2,283,69.8,59.2,1,5,34.0,6.9,4,24.8,0,0
Industrial Corridor,259.9,195,50.4,12.9,1,9,83.2,71.8,8,30.8,1,169
Highway,105.8,104,44.6,32.0,2,12,51.6,41.4,6,43.4,1,128
Railway,449.2,238,100.0,100.0,0,3,70.9,48.5,5,28.4,0,0
Urban Infrastructure,445.1,461,79.4,91.1,0,14,84.5,81.5,22,26.4,0,0
Irrigation,256.6,180,72.3,67.8,0,11,72.5,80.0,6,26.7,1,77
Irrigation,687.7,201,100.0,100.0,1,19,57.1,48.0,6,14.9,1,20
Railway,59.7,67,88.4,79.0,1,15,90.9,73.0,14,21.8,0,0
Industrial Corridor,203.5,161,100.0,96.1,1,73,68.8,45.9,4,24.3,0,0
Industrial Corridor,402.2,404,53.1,28.8,5,35,100.0,77.0,16,27.1,1,73
Railway,116.8,37,52.5,59.8,2,5,28.9,20.9,6,41.2,0,0
Urban Infrastructure,478.7,554,81.9,76.8,1,10,28.6,22.2,4,36.2,0,0
Highway,572.3,1282,78.6,67.6,2,12,82.9,82.8,2,19.5,0,0
Highway,19.0,6,92.0,79.2,2,45,62.4,49.7,14,25.7,0,0
Irrigation,702.4,878,45.9,35.8,2,14,78.9,94.5,5,41.4,1,82
Urban Infrastructure,386.0,306,83.3,100.0,1,13,41.0,31.7,6,7.0,0,0
Highway,185.6,131,87.8,78.6,1,6,64.1,12.4,6,23.5,0,0
Highway,78.5,91,87.0,81.1,3,13,72.1,85.7,5,11.6,0,0
Highway,521.0,570,65.5,45.4,2,14,52.1,40.7,10,52.9,1,174
Urban Infrastructure,100.9,144,80.3,62.2,3,20,67.6,52.9,13,34.5,1,48
Highway,385.5,125,59.6,48.2,0,9,35.8,19.2,23,20.5,1,31
Railway,104.7,153,67.3,54.9,0,6,70.9,76.4,16,25.6,0,0
Urban Infrastructure,275.0,243,55.3,28.4,0,6,91.9,75.2,8,17.0,0,0
Highway,506.0,112,59.9,35.8,2,36,38.2,37.2,12,47.9,1,15
Irrigation,187.5,103,68.1,56.2,0,40,37.0,49.4,19,2.0,0,0
Railway,699.4,562,64.1,26.1,1,36,86.8,63.5,13,29.6,1,158
Industrial Corridor,408.5,221,59.9,60.7,0,13,36.7,17.7,8,25.2,0,0
Railway,117.1,77,51.2,59.8,2,35,79.8,85.3,10,14.7,0,0
Railway,84.5,42,100.0,92.2,0,31,64.1,63.3,16,23.2,0,0
Highway,146.2,424,64.0,61.2,2,24,54.6,54.3,2,8.2,0,0
Industrial Corridor,265.6,277,77.3,100.0,2,14,92.3,100.0,7,43.3,0,0
Industrial Corridor,742.0,553,43.9,45.0,3,24,81.6,61.2,1,26.3,1,68
Highway,832.3,302,93.7,80.9,0,5,68.6,47.6,3,36.1,1,40
Railway,181.9,260,74.7,67.5,0,32,19.9,15.9,1,20.7,1,55
Urban Infrastructure,177.5,172,64.9,67.8,1,2,77.2,68.6,6,40.8,0,0
Highway,455.0,176,65.0,56.4,3,14,41.6,30.9,18,26.4,1,69
Highway,452.5,176,85.9,76.2,3,16,58.6,45.9,15,37.8,1,26
Irrigation,629.0,418,24.8,6.8,2,13,63.1,74.3,4,32.2,1,39
Railway,639.8,480,58.8,59.8,1,33,100.0,83.7,10,25.6,0,0
Highway,137.8,142,70.1,49.9,5,5,57.9,66.5,4,37.0,1,62
Railway,69.2,48,69.9,77.2,1,8,34.5,15.3,8,72.0,0,0
Highway,412.5,446,100.0,99.0,1,19,92.4,99.4,17,13.6,0,0
Irrigation,320.7,174,66.6,34.8,2,4,77.5,88.0,3,24.7,0,0
Industrial Corridor,37.8,26,87.8,94.1,2,12,78.3,69.7,9,11.8,0,0
Irrigation,67.5,99,100.0,100.0,2,48,92.8,84.6,12,30.6,0,0
Highway,399.1,443,82.7,92.2,2,32,97.5,86.9,5,28.5,0,0
Industrial Corridor,248.7,179,61.2,64.8,0,54,45.2,49.6,9,47.4,1,119
Highway,405.3,350,51.4,41.5,1,18,35.2,23.2,4,23.2,1,203
Industrial Corridor,110.2,77,83.9,66.0,0,34,79.8,66.3,8,36.5,0,0
Railway,425.4,118,98.3,90.6,2,35,57.8,31.3,8,3.1,0,0
Industrial Corridor,348.9,32,80.7,77.2,1,4,59.6,47.8,3,27.7,0,0
Highway,446.6,778,91.7,100.0,1,10,40.6,40.6,2,16.4,0,0
Highway,192.3,78,100.0,100.0,0,13,74.7,85.9,2,32.5,0,0
Railway,161.0,92,85.4,99.0,0,40,71.0,85.0,10,38.7,0,0
Highway,78.3,205,54.4,36.1,3,7,59.9,46.1,9,19.4,0,0
Highway,217.9,77,72.8,53.5,0,51,35.2,14.3,8,31.9,0,0
Industrial Corridor,556.4,373,93.9,86.5,6,12,87.2,91.6,6,22.1,0,0
Industrial Corridor,658.3,997,68.0,53.8,1,27,68.1,55.3,12,26.5,1,91
Highway,101.7,199,96.1,75.8,1,14,85.4,79.0,6,30.5,0,0
Urban Infrastructure,265.5,255,70.9,61.5,1,2,20.9,1.1,5,15.0,1,15
Industrial Corridor,749.1,1077,77.3,49.8,4,52,64.1,42.1,3,15.0,1,50
Urban Infrastructure,814.4,512,66.4,72.7,5,36,48.7,73.7,7,35.5,0,0
Irrigation,211.1,19,74.6,71.5,3,15,63.7,39.2,8,18.5,0,0
Irrigation,588.8,804,75.4,73.9,2,24,81.9,69.1,1,40.1,0,0
Irrigation,524.6,371,46.3,29.2,3,10,70.4,69.4,7,6.5,1,48
Irrigation,496.6,290,64.9,77.0,1,9,63.4,62.0,11,36.3,0,0
Urban Infrastructure,58.2,32,52.3,24.0,1,36,63.3,53.8,6,26.1,1,95
Highway,173.3,185,65.5,49.6,2,33,31.8,30.4,26,25.0,1,158
Highway,244.7,260,59.3,26.8,1,63,44.9,50.0,7,27.6,1,39
Highway,239.5,173,88.2,80.8,2,34,85.4,87.0,5,10.1,0,0
Urban Infrastructure,263.4,246,88.4,88.1,2,24,52.9,59.5,6,38.3,1,18
Railway,871.4,303,81.0,63.8,2,34,85.8,56.6,9,21.3,0,0
Irrigation,216.7,138,51.7,29.3,2,26,79.5,69.7,23,16.8,1,95
Industrial Corridor,360.3,129,70.4,72.4,1,28,80.6,37.8,5,49.8,0,0
Urban Infrastructure,351.5,123,50.4,70.4,3,31,69.7,55.1,11,22.2,0,0
Highway,265.8,234,69.6,87.2,0,36,54.3,36.5,9,16.5,0,0
Industrial Corridor,107.7,80,82.4,70.7,1,17,60.0,66.9,17,34.9,0,0
Urban Infrastructure,292.3,159,87.9,58.3,0,2,75.8,70.1,4,28.9,0,0
Highway,37.0,23,79.6,89.8,0,18,20.5,10.4,10,37.1,0,0
Industrial Corridor,385.6,356,92.1,87.9,1,8,87.9,88.5,13,26.9,0,0
Railway,29.9,32,76.2,73.1,2,42,53.0,51.0,11,36.5,0,0
Irrigation,362.0,356,68.3,33.4,1,49,61.3,46.0,13,48.6,1,29
Railway,166.0,35,86.0,46.4,3,8,61.4,45.8,6,17.7,1,103
Highway,121.4,15,86.5,72.6,2,14,62.2,73.3,9,21.0,0,0
Highway,459.7,198,63.6,43.0,0,16,36.7,23.4,15,8.4,0,0
Highway,197.8,25,78.1,57.9,3,9,66.0,48.7,2,30.2,1,40
Highway,281.5,458,67.3,77.2,2,26,74.9,74.8,6,27.4,0,0
Irrigation,60.3,36,39.9,22.1,0,6,22.1,23.5,4,39.9,1,230
Railway,689.9,200,79.0,85.3,1,22,37.0,21.4,4,25.7,0,0
Highway,301.7,181,51.3,45.7,2,32,80.9,100.0,9,25.1,1,15
Irrigation,301.2,53,77.3,53.3,0,28,77.2,68.2,9,28.2,0,0
Irrigation,391.3,116,47.4,38.3,0,27,69.0,35.5,6,23.4,1,238
Irrigation,15.6,9,60.5,37.1,0,10,49.4,79.3,8,30.0,1,106
Urban Infrastructure,734.8,376,65.1,38.9,2,47,77.3,56.0,7,28.5,1,67
Railway,210.7,120,91.2,100.0,2,39,38.9,21.7,2,31.9,0,0
Industrial Corridor,706.9,666,63.5,86.0,3,13,60.3,72.9,3,23.5,0,0
Highway,205.0,254,54.8,30.5,0,30,36.9,20.1,11,32.1,1,135
Industrial Corridor,170.1,131,77.8,53.0,3,12,59.8,35.8,4,32.8,1,24
Urban Infrastructure,373.2,476,68.5,56.9,3,31,42.4,51.0,6,22.4,0,0
Industrial Corridor,983.4,511,84.6,71.1,1,6,78.1,79.7,10,25.1,0,0
Irrigation,588.4,809,55.8,35.3,4,37,71.7,62.3,9,24.1,1,15
Irrigation,402.0,314,75.4,55.2,4,12,51.6,27.9,5,12.5,0,0
Railway,369.1,434,100.0,96.3,2,8,84.8,83.9,7,20.7,0,0
Irrigation,290.3,153,68.2,46.8,1,7,43.9,35.5,6,34.4,1,404
Industrial Corridor,686.4,521,75.0,71.9,0,23,62.3,63.3,7,35.3,0,0
Urban Infrastructure,467.7,984,45.4,34.0,2,28,50.7,41.3,17,29.7,1,188
Railway,76.7,58,58.4,47.6,1,16,77.8,53.1,10,14.9,0,0
Highway,122.0,150,79.4,83.4,0,33,75.9,65.3,7,36.8,0,0
Irrigation,411.5,543,66.7,69.1,3,2,89.0,85.4,8,46.4,1,45
Highway,103.9,107,81.8,42.5,2,20,64.7,56.2,1,32.5,0,0
Highway,300.5,340,78.8,83.3,0,15,3.8,6.8,30,26.0,0,0
Railway,494.0,261,50.9,37.7,4,9,54.4,60.3,15,16.5,1,17
Industrial Corridor,375.0,158,88.2,72.1,1,8,94.3,67.2,6,25.8,0,0
Highway,89.5,32,52.1,44.9,2,30,56.5,22.9,2,20.6,1,15
Highway,128.1,117,59.8,42.4,2,6,24.6,42.5,6,23.8,1,70
Highway,383.2,284,75.7,63.1,3,19,72.0,54.3,14,40.2,0,0
Urban Infrastructure,915.6,805,97.1,100.0,2,4,73.5,51.6,13,35.7,1,108
Irrigation,256.2,82,55.9,40.4,0,3,48.5,57.7,7,22.2,0,0
Highway,505.5,235,74.4,74.0,0,18,58.1,56.2,20,27.0,0,0
Highway,377.3,457,74.5,42.1,2,22,46.1,45.8,7,25.9,1,90
Irrigation,164.6,134,82.5,68.5,1,9,73.5,36.0,6,21.2,0,0
Highway,509.4,399,90.9,92.7,2,26,64.1,30.3,10,11.2,0,0
Irrigation,58.4,37,65.5,52.7,0,39,39.7,44.5,4,35.1,0,0
Railway,484.8,213,88.2,93.1,1,30,62.8,75.7,5,39.0,0,0
Urban Infrastructure,393.4,551,93.3,81.7,2,18,48.3,27.7,11,19.3,1,61
Highway,177.7,272,100.0,95.2,2,38,92.2,75.0,4,18.8,0,0
Irrigation,112.5,86,80.0,83.6,2,20,80.9,53.2,10,36.0,1,71
Highway,190.7,36,74.5,78.3,2,8,60.6,67.5,13,18.7,0,0
Urban Infrastructure,154.4,104,64.4,22.3,2,28,64.6,44.7,6,10.7,0,0
Urban Infrastructure,225.9,361,48.7,39.4,0,35,83.3,85.3,6,21.1,1,75
Industrial Corridor,206.7,98,67.6,65.6,2,5,59.5,41.2,8,40.9,0,0
Railway,177.6,98,73.8,74.3,1,14,78.2,69.8,4,20.2,1,78
Highway,55.8,66,70.2,55.6,2,8,92.5,55.0,6,18.9,0,0
Industrial Corridor,98.3,53,81.6,82.5,1,21,53.2,37.5,2,20.8,0,0
Industrial Corridor,563.5,414,48.7,56.0,3,16,95.9,91.6,4,13.3,1,15
Highway,181.9,27,69.1,61.6,0,8,90.1,79.0,7,11.5,0,0
Railway,229.3,356,100.0,92.6,0,18,68.0,60.5,9,23.1,0,0
Railway,198.0,222,87.9,85.7,0,22,54.1,62.4,9,10.6,0,0
Industrial Corridor,696.6,937,81.9,86.4,5,27,67.7,29.8,5,21.6,1,92
Irrigation,151.3,60,78.3,75.8,1,56,58.1,25.1,5,28.9,1,80
Irrigation,142.3,248,66.2,64.8,0,15,47.1,40.7,5,30.1,1,15
Irrigation,399.4,277,43.9,44.4,4,19,73.6,54.1,7,24.5,0,0
Highway,317.5,448,79.3,67.4,0,18,42.5,2.7,3,12.8,1,54
Railway,407.1,367,32.8,5.0,2,73,56.2,28.6,2,21.5,1,54
Highway,389.7,449,66.8,40.2,1,12,56.5,52.1,8,29.8,1,86
Industrial Corridor,518.1,488,71.9,36.7,1,16,35.7,28.0,5,32.8,1,283
Railway,87.2,47,64.8,64.7,1,17,76.2,93.0,9,23.0,0,0
Railway,373.6,89,100.0,68.6,2,6,58.4,37.8,21,18.3,0,0
Highway,143.1,211,100.0,88.8,2,26,89.0,61.4,5,26.9,0,0
Highway,39.2,5,88.5,66.7,0,21,58.1,30.4,10,22.1,1,125
Irrigation,387.9,476,57.2,42.8,2,12,54.9,35.4,1,14.8,0,0
Highway,372.5,549,100.0,96.8,2,27,44.9,30.6,6,29.4,0,0
Highway,273.3,77,81.9,63.8,1,24,63.8,69.8,8,26.2,1,15
Industrial Corridor,524.2,294,56.9,42.1,0,7,63.9,50.1,1,13.8,1,84
Railway,144.1,37,72.5,89.3,1,26,77.8,78.3,16,19.1,0,0
Railway,431.9,212,87.3,81.0,4,3,64.3,47.4,4,23.9,0,0
Railway,245.1,327,62.4,42.2,4,19,100.0,100.0,12,9.2,0,0
Industrial Corridor,259.3,297,74.2,62.3,0,9,72.1,55.3,10,18.0,0,0
Railway,46.1,49,77.1,62.5,0,48,43.3,14.5,18,32.9,1,27
Industrial Corridor,527.7,297,54.4,56.9,0,38,41.6,26.9,1,20.6,1,84
Urban Infrastructure,362.6,39,67.7,56.1,1,49,73.7,59.8,9,17.2,0,0
Irrigation,420.7,131,55.6,48.9,0,10,42.6,19.9,7,37.9,1,38
Railway,127.7,81,85.9,80.7,0,8,74.9,39.3,1,29.8,0,0
Industrial Corridor,333.9,120,57.5,59.0,0,17,80.9,73.5,6,33.6,1,27
Railway,244.7,302,76.7,55.9,2,11,81.4,64.6,6,17.4,1,16
Railway,375.9,667,49.8,37.0,5,9,45.6,13.9,3,22.9,1,67
Irrigation,323.2,290,53.9,42.5,2,40,81.4,62.4,6,25.9,0,0
Highway,784.4,219,53.1,16.4,2,39,69.5,90.5,6,28.5,1,15
Highway,633.3,953,67.4,52.8,2,32,50.8,52.5,5,51.1,1,45
Railway,224.1,176,74.9,50.1,1,3,59.8,39.5,9,26.9,1,77
Highway,387.5,279,77.8,66.0,1,24,72.4,69.4,11,37.9,0,0
Railway,210.1,212,43.6,40.5,1,15,49.5,18.9,4,51.2,1,193
Irrigation,515.0,165,69.3,76.1,1,30,69.0,32.1,7,44.9,1,15
Urban Infrastructure,252.4,143,60.0,48.6,0,29,91.9,91.8,18,27.7,0,0
Highway,188.3,130,80.5,100.0,2,22,82.3,88.8,7,38.6,0,0
Irrigation,330.7,282,67.7,55.9,1,40,64.6,61.0,4,27.4,1,18
Railway,601.8,544,70.7,58.3,1,22,67.7,65.0,3,25.6,1,20
Highway,541.4,544,60.1,55.1,4,3,52.2,20.2,10,35.3,1,49
Highway,196.9,98,99.6,92.9,3,14,52.8,59.3,4,35.7,0,0
Highway,740.8,150,51.5,61.0,1,10,32.3,12.2,4,31.6,1,52
Highway,134.4,84,65.6,38.2,0,8,68.0,38.2,9,24.2,0,0
Highway,170.7,116,73.7,70.4,1,8,76.6,55.3,3,20.7,0,0
Railway,500.8,98,68.0,73.6,0,12,61.6,46.1,9,12.7,0,0
Irrigation,39.5,19,59.8,44.2,0,11,45.5,38.9,3,27.8,1,77
Highway,282.0,227,43.0,33.4,1,25,64.3,27.6,4,28.6,1,15
Highway,223.4,119,60.9,57.9,2,10,89.8,84.5,3,35.1,1,49
Highway,768.5,604,56.6,55.1,1,26,81.0,57.8,4,9.9,1,38
Irrigation,114.3,59,98.9,91.0,1,34,62.4,55.8,14,27.1,1,20
Railway,125.7,132,100.0,73.2,2,26,100.0,100.0,28,23.8,0,0
Irrigation,836.1,318,71.2,56.6,3,20,100.0,95.0,6,25.4,0,0
Highway,225.4,164,49.5,42.0,3,28,53.4,46.7,6,39.7,0,0
Highway,586.7,439,83.8,63.9,3,8,58.1,51.3,11,40.1,1,110
Urban Infrastructure,198.7,240,56.3,47.9,2,3,76.9,77.8,9,37.2,1,42
Highway,165.2,97,63.2,49.6,2,29,44.7,26.3,13,27.0,1,75
Highway,605.6,1067,61.9,51.8,2,21,80.0,59.9,9,23.9,0,0
Highway,965.5,1664,64.0,47.7,1,51,65.0,60.6,14,39.2,1,173
Urban Infrastructure,635.8,253,66.3,64.5,0,34,70.4,66.1,8,44.8,1,109
Irrigation,188.9,135,51.0,59.0,2,14,51.5,58.3,18,43.6,1,57
Irrigation,273.2,82,60.8,40.1,1,15,47.2,34.4,11,31.4,0,0
Urban Infrastructure,130.6,125,88.3,59.2,2,20,23.3,0.0,17,26.4,1,57
Highway,149.9,79,71.5,78.8,0,16,92.7,63.0,6,33.6,0,0
Urban Infrastructure,143.7,112,74.0,63.5,3,20,81.8,81.8,6,34.3,0,0
Highway,202.4,125,36.3,34.6,2,11,76.5,37.6,8,21.6,1,15
Irrigation,305.5,867,87.2,66.8,3,31,70.0,66.4,2,23.9,1,23
Railway,281.3,186,61.0,49.5,2,25,16.9,23.1,8,59.5,1,235
Railway,454.0,285,90.0,35.4,4,17,48.0,59.4,7,21.6,0,0
Urban Infrastructure,316.9,397,74.5,70.7,2,7,57.9,65.0,7,35.4,0,0
Highway,425.5,577,63.0,33.5,7,17,41.4,27.4,6,20.3,1,106
Urban Infrastructure,471.3,399,45.2,14.3,0,22,29.1,24.0,8,24.6,1,62
Railway,191.6,264,100.0,84.5,2,16,43.5,44.0,5,15.9,1,32
Irrigation,248.6,639,84.9,76.4,3,13,64.0,67.7,13,15.9,1,57
Urban Infrastructure,1600.0,956,85.8,76.5,2,2,64.0,71.3,11,32.8,0,0
Highway,179.4,58,100.0,91.9,2,75,81.2,85.5,8,31.5,0,0
Urban Infrastructure,441.9,405,75.6,51.7,4,9,100.0,75.8,2,46.2,1,46
Irrigation,92.9,121,93.6,97.8,1,23,76.7,40.6,2,26.3,0,0
Industrial Corridor,480.3,807,64.3,58.6,0,8,59.5,22.5,7,27.7,1,77
Highway,156.7,159,83.8,79.8,1,22,99.0,79.7,4,25.5,1,62
Irrigation,288.6,213,61.9,78.1,0,23,31.4,29.8,10,15.3,0,0
Irrigation,78.9,35,63.9,43.9,1,14,21.4,22.4,1,32.5,1,54
Railway,268.1,396,73.6,50.7,1,16,45.3,25.0,19,24.1,1,93
Highway,272.1,237,51.7,52.6,2,11,79.2,73.9,3,10.2,0,0
Highway,241.8,50,77.3,54.9,2,75,66.4,51.2,13,38.2,1,224
Urban Infrastructure,378.4,795,67.0,81.2,1,32,40.4,2.4,6,19.7,1,38
Highway,572.6,195,40.2,31.9,1,20,48.5,36.2,2,29.6,1,66
Industrial Corridor,125.2,165,64.7,58.5,0,12,38.2,0.0,6,30.0,1,39
Urban Infrastructure,246.2,204,66.5,57.3,2,30,38.2,46.1,16,28.3,0,0
Highway,84.5,19,85.6,76.4,1,30,94.0,78.3,6,15.0,0,0
Highway,50.8,35,76.6,69.7,1,8,60.1,46.4,15,41.4,0,0
Irrigation,314.0,188,95.2,92.6,3,4,98.4,100.0,7,18.0,0,0
Highway,117.0,30,80.3,73.8,2,11,45.2,24.2,11,2.0,0,0
Irrigation,279.4,268,63.1,36.0,2,11,72.8,40.8,5,35.3,0,0
Irrigation,323.0,392,71.1,71.2,0,5,67.5,25.5,4,35.0,1,35
Irrigation,60.8,44,66.4,26.8,3,9,80.6,65.4,3,12.9,0,0
Railway,357.9,211,79.8,80.7,1,7,68.1,87.6,8,25.9,0,0
Irrigation,554.7,556,73.0,61.6,2,40,82.7,66.5,9,37.9,1,83
Irrigation,415.1,32,61.9,45.9,1,22,74.1,54.0,6,41.5,1,109
Highway,127.8,70,72.1,68.2,1,25,41.2,35.7,4,32.7,1,26
Irrigation,266.7,153,79.4,52.0,0,32,77.7,65.5,17,35.1,1,68
Urban Infrastructure,288.7,211,55.9,40.3,1,8,60.9,59.2,7,33.9,1,67
